question,file_a,file_b,score,jaccard,control,idents,loops,calls
1,q1_maolf.c,q1_smbsa.c,0.610032,0.201550,1.000000,0.529412,1.000000,1.000000
1,q1_lgof.c,q1_rvm2.c,0.609286,0.285714,1.000000,0.300000,1.000000,1.000000
1,q1_dfm.c,q1_mfpc.c,0.609170,0.295652,1.000000,0.272727,1.000000,1.000000
1,q1_mfpc.c,q1_rvm2.c,0.608793,0.284483,1.000000,0.300000,1.000000,1.000000
1,q1_fal.c,q1_mfpc.c,0.608761,0.284404,1.000000,0.300000,1.000000,1.000000
1,q1_dfm.c,q1_jppp.c,0.608647,0.289474,1.000000,0.285714,1.000000,1.000000
1,q1_argmq.c,q1_barlf.c,0.605888,0.275591,1.000000,0.304348,1.000000,1.000000
1,q1_barlf.c,q1_wmsn.c,0.605785,0.264463,1.000000,0.333333,1.000000,1.000000
1,q1_amfgs.c,q1_fal.c,0.605714,0.276786,1.000000,0.300000,1.000000,1.000000
1,q1_dlc.c,q1_fal.c,0.605714,0.276786,1.000000,0.300000,1.000000,1.000000
1,q1_fal.c,q1_gtc.c,0.605714,0.276786,1.000000,0.300000,1.000000,1.000000
1,q1_fal.c,q1_jcvg.c,0.605714,0.276786,1.000000,0.300000,1.000000,1.000000
1,q1_lrvo.c,q1_wmsn.c,0.605263,0.250000,1.000000,0.368421,1.000000,1.000000
1,q1_lgof.c,q1_mmrm.c,0.604735,0.274336,1.000000,0.300000,1.000000,1.000000
1,q1_barlf.c,q1_bgnp.c,0.604065,0.260163,1.000000,0.333333,1.000000,1.000000
1,q1_jppp.c,q1_meso.c,0.603351,0.264957,1.000000,0.315789,1.000000,1.000000
1,q1_bgnp.c,q1_gtc.c,0.601897,0.267241,1.000000,0.300000,1.000000,1.000000
1,q1_dfm.c,q1_vgjda2.c,0.600909,0.275000,1.000000,0.272727,1.000000,1.000000
1,q1_rvm2.c,q1_wmsn.c,0.600785,0.264463,1.000000,0.300000,1.000000,1.000000
1,q1_barlf.c,q1_lbas2.c,0.600683,0.269565,1.000000,0.285714,1.000000,1.000000
1,q1_bssah.c,q1_dfm.c,0.600683,0.269565,1.000000,0.285714,1.000000,1.000000
1,q1_dfm.c,q1_mahf.c,0.600683,0.269565,1.000000,0.285714,1.000000,1.000000
